Tahun,Aktual,Predict,CrispOut
1981,Krisis,Aman,0.22041392035373764
1982,Aman,Aman,0.22041392035373764
1983,Aman,Aman,0.22041392035373764
1984,Aman,Aman,0.22041392035373764
1985,Aman,Aman,0.22041392035373764
1986,Aman,Aman,0.22041392035373764
1987,Krisis,Aman,0.22041392035373764
1988,Aman,Aman,0.22041392035373764
1989,Aman,Aman,0.22041392035373764
1990,Aman,Aman,0.22041392035373764
1991,Aman,Aman,0.22041392035373764
1992,Aman,Aman,0.22041392035373764
1993,Aman,Aman,0.22041392035373764
1994,Aman,Aman,0.22041392035373764
1995,Aman,Aman,0.22356447661700732
1996,Aman,Aman,0.22956100364377435
1997,Aman,Aman,0.23585735702187977
1998,Aman,Aman,0.28777900989093286
1999,Aman,Aman,0.4730778821782369
2000,Aman,Aman,0.4730778821782369
2001,Aman,Aman,0.3859998133451849
2002,Aman,Aman,0.2727645531271008
2003,Aman,Aman,0.2727645531271008
2004,Aman,Aman,0.2727645531271008
2005,Aman,Aman,0.2727645531271008
2006,Aman,Aman,0.2727645531271008
2007,Aman,Aman,0.2706181176940375
2008,Aman,Aman,0.2727645531271008
2009,Aman,Aman,0.2727645531271008
2010,Aman,Aman,0.2665717112274336
2011,Aman,Aman,0.2573829294686058
2012,Aman,Aman,0.25559592515165463
