Tahun,Aktual,Predict,CrispOut
1970,Aman,Aman,0.01961226236542557
1971,Aman,Aman,0.01961226236542557
1972,Aman,Aman,0.01961226236542557
1973,Aman,Aman,0.01961226236542557
1974,Aman,Aman,0.01961226236542557
1975,Aman,Aman,0.01961226236542557
1976,Aman,Aman,0.01961226236542557
1977,Aman,Aman,0.01961226236542557
1978,Aman,Aman,0.01961226236542557
1979,Aman,Aman,0.10246072497206302
1980,Aman,Aman,0.19490335559173064
1981,Aman,Aman,0.20370741565074665
1982,Aman,Aman,0.21420456418265033
1983,Aman,Aman,0.30529272402400776
1984,Aman,Aman,0.3958541452293558
1985,Aman,Aman,0.3958541452293558
1986,Aman,Aman,0.3958541452293558
1987,Aman,Aman,0.39585414522935575
1988,Aman,Aman,0.3958541452293558
1989,Aman,Aman,0.3958541452293558
1990,Aman,Aman,0.3958541452293558
1991,Aman,Aman,0.3958541452293558
1992,Aman,Aman,0.3958541452293558
1993,Aman,Aman,0.3958541452293558
1994,Aman,Aman,0.3958541452293558
1995,Aman,Aman,0.3958541452293558
1996,Aman,Aman,0.3958541452293558
1997,Aman,Aman,0.3958541452293558
1998,Aman,Aman,0.3958541452293558
1999,Aman,Aman,0.3958541452293558
2000,Aman,Aman,0.3958541452293558
2001,Aman,Aman,0.3958541452293558
2002,Aman,Aman,0.3958541452293558
2003,Aman,Aman,0.3958541452293558
2004,Aman,Aman,0.3958541452293558
2005,Aman,Aman,0.3958541452293558
2006,Aman,Aman,0.3958541452293558
2007,Aman,Aman,0.3958541452293558
2008,Aman,Aman,0.3958541452293558
2009,Aman,Aman,0.3958541452293558
2010,Aman,Aman,0.3254814728289875
2011,Aman,Aman,0.3958541452293558
2012,Aman,Aman,0.3958541452293558
