Tahun,Aktual,Predict,CrispOut
1969,Aman,Aman,0.2350954193567912
1970,Aman,Aman,0.2699003486270772
1971,Aman,Aman,0.27786319547164506
1972,Aman,Aman,0.31162533424392974
1973,Aman,Aman,0.36015004775663123
1974,Aman,Aman,0.350116486616502
1975,Aman,Aman,0.3703078260552167
1976,Aman,Aman,0.3162646281869512
1977,Aman,Aman,0.4819661270857756
1978,Aman,Aman,0.4014243416091696
1979,Aman,Aman,0.36335440920333256
1980,Aman,Aman,0.3533328142711929
1981,Aman,Aman,0.38030815200263296
1982,Aman,Aman,0.38606464906835425
1983,Aman,Aman,0.3550890537357143
1984,Aman,Aman,0.3162646281869512
1985,Aman,Aman,0.38652583439031496
1986,Aman,Aman,0.3559526074531222
1987,Aman,Aman,0.3588483618947809
1988,Aman,Aman,0.3738420611276028
1989,Aman,Aman,0.340349742001012
1990,Aman,Aman,0.3162646281869512
1991,Aman,Aman,0.36745768194443584
1992,Aman,Aman,0.3162646281869512
1993,Aman,Aman,0.3162646281869512
1994,Aman,Aman,0.3162646281869512
1995,Aman,Aman,0.3162646281869512
1996,Aman,Aman,0.3162646281869512
1997,Aman,Aman,0.3162646281869512
1998,Aman,Aman,0.3162646281869512
1999,Aman,Aman,0.37324936128226527
2000,Aman,Aman,0.3393903550187194
2001,Aman,Aman,0.3777833552406062
2002,Aman,Aman,0.4289634731316709
2003,Aman,Aman,0.48896373080038524
2004,Krisis,Krisis,0.511112837500546
2005,Krisis,Krisis,0.5304892289330786
2006,Krisis,Krisis,0.5673412166096029
2007,Krisis,Krisis,0.5925949892495587
2008,Krisis,Krisis,0.5757770741704621
2009,Krisis,Krisis,0.5865463902579668
2010,Krisis,Krisis,0.5187959080610355
2011,Krisis,Krisis,0.5499563587653725
2012,Krisis,Krisis,0.5725969251400505
